index,text
0,". Un objec-
tif de 100 000 km d'aménagements cyclables sécurisés 
est ﬁxé pour 2030. Pour l’ateindre, le plan vélo 2023-
2027 prévoit une enveloppe annuelle de 250 M € pour 
co-ﬁnancer des projets structurants d’infrastructures 
cyclables76. Toutefois, en 2024, les autorisations d’en-
gagement ont été divisées par deux, retardant de 
nombreux projets, et en 2025 il n'y a aucune autorisa-
tion d'engagement77"
1,". 
L’électriﬁcation est désormais une priorité pour le transport routier de marchandises. Pour autant, 
l’objectif 2030 de report modal semble diﬃcilement réalisable, et la stratégie permetant de 
ratraper ce retard n'est pas clairement déﬁnie.
L’accès à une mobilité décarbonée continue de progresser, mais reste encore insuﬃsant"
2,". Pour se placer sur la trajectoire de neu-
tralité, le paquet législatif « Ajustement à l’objectif 55 » 
(Fit for 55) a ﬁxé de nouveaux objectifs sectoriels pour 
2030 et des moyens pour y parvenir"
3,". chapitre 5). Cet objectif 
2025 est ﬁxé depuis 2019, permetant aux construc-
teurs de l’anticiper. La grande majorité des construc-
teurs étaient en bonne voie pour ateindre ces objec-
tifs en utilisant les ﬂexibilités prévues à cet eﬀet41,42,43"
4,". La plupart des objectifs 
ﬁxés dans les diﬀérents plans et lois n’ont pas été 
(cibles 2020) et ne seront très probablement pas (à 
échéance 2025) respectés (réduction de 50 % de la 
quantité mise en décharge par rapport à 2010, valori-
sation de 65 % des déchets non dangereux non inertes ; 
100 % de plastiques recyclés en 2025, voir supra).
La stratégie mise en oeuvre ne permet pas d’ateindre"
5,"publié en mars 2025.
bleus sont essentiels pour favoriser la santé et le bien-être des personnes vivant en zones 
urbaines"
6,". Il s’agit notamment d’assurer l’accès à 
des logements rénovés et abordables pour tous, de 
développer massivement les transports publics, de 
renforcer l’oﬀre de véhicules électriques abordables"
7,"La stratégie mise en oeuvre ne permet pas d’ateindre 
les taux de collecte réglementaires dans une trajec-
toire tendancielle d’ici 2030"
8,". Les 
leviers relatifs au renouvellement urbain et à l’aug-
mentation de l’eﬃcacité carbone des nouveaux 
aménagements sont essentiels pour la décarbona-
tion des territoires, notamment dans les secteurs 
peu denses structurellement plus dépendants à la 
voiture individuelle comme les espaces ruraux et les 
périphéries urbaines pavillonnaires. Pour ateindre 
les objectifs à 2050 de 2 t éqCO2 par an et par 
I"
9,". En 2024, 
la dynamique d’investissements dans les deux sous-
secteurs qui concentrent la majorité des besoins 
d’investissements – rénovation énergétique des bâtiments 
et véhicules électriques – rend peu probable l'ateinte 
des objectifs ﬁxés pour 2030, sauf accélération d’am-
pleur dans les années à venir"
10,". 
Le niveau d’adaptation des infrastructures reste à 
déterminer selon l’évolution de la mobilité. Aﬁn de 
respecter les objectifs climatiques, les mobilités devront 
évoluer, notamment avec moins de kilomètres parcou-
rus en voiture et plus en train et en vélo, plus de véhi-
cules électriques et moins de vols intérieurs par rapport 
à la situation actuelle"
11,"3.6.3.4 - INSTRUMENTS DE PO (propriétaires occupants)LITIQUE (Union Européenne) PUBLIQUE (Union Européenne) 
Les objectifs très ambitieux pour 2030 impliquent un 
changement d’échelle structurel et non plus incré-
mental dans la mise en oeuvre des stratégies. La priorité 
reste d’assurer la concrétisation des engagements 
pris par les pouvoirs publics en mobilisant l’ensemble 
des outils disponibles"
12,". La comparaison entre une seule année 
(2023-2024) et un rythme cible moyen à horizon 2030 a un eﬀet d'ampliﬁcation de la dynamique observée à très court terme, et doit s'accompagner d'une analyse prenant aussi en compte les dynamiques passées sur une période plus longue"
13,"rehausser leur ambition climatique pour 2030 et au-delà à l'occasion de la COP (conférence des parties)30 (CDN (contributions déterminées au niveau national) 
3.0) et porte plusieurs initiatives susceptibles de contribuer à la sortie des énergies 
fossiles (ex"
14,". Les objectifs d’économie circulaire ne sont par ailleurs en grande majorité pas 
respectés pour le jalon 2020, et risquent très probablement de ne pas l’être pour 2025"
15,". La 
concrétisation de cete ambition repose donc sur la 
mise en oeuvre eﬀective, à court terme, des projets 
pilotes annoncés, en particulier dans les secteurs des 
matériaux de construction, de la chimie et des 
métaux, dès 2025"
16,"Malgré des objectifs ambitieux, par exemple de renouveler 10 % de la forêt ou d’ateindre 
+ 50 000 km de linéaires de haies (en net) d’ici 2030, les subventions publiques diminuent en 2025 
et le levier réglementaire est peu appliqué"
17,". En 2024, la dynamique des investisse-
ments dans les deux sous-secteurs qui concentrent 
la majorité des besoins d’investissements - rénova-
tion 
énergétique 
des 
bâtiments 
et 
véhicules 
électriques - rend peu probable l'ateinte des objec-
tifs ﬁxés pour 2030, sauf accélération d’ampleur 
dans les années à venir"
18,". La première consisterait à adopter une tra-
jectoire de réduction des émissions dite « non linéaire » 
entre l’objectif de -55 % ﬁxé pour 2030 et celui envi-
sagé pour 2040, avec la possibilité d’un ralentissement 
des eﬀorts dans la première moitié de la décennie, suivi 
d’une accélération dans les années suivantes"
19,"PO (propriétaires occupants)UR ATTEINDRE LA CIBLE FIXÉE EN 2030.
Alors que la baisse d’émissions observée en 2023 était 
compatible avec la trajectoire nécessaire pour tenir 
les objectifs du troisième budget carbone déﬁnis dans 
le projet de SNBC (stratégie nationale bas carbone) 3, cete dynamique s’est interrom-
pue en 2024 et cela entraîne d’ores et déjà un retard 
qu’il est impératif de ratraper"
